gb_id;gb_url;title;subtitle;authors;publisher;pub_date;language;categories;description;pageCount;isbn13;isbn10;price_amount;price_currency;ingestion_date_google;query_url
_1b4nAEACAAJ;http://books.google.es/books?id=_1b4nAEACAAJ&dq=isbn:9781449361327&hl=&source=gbs_api;Data Science for Business;;"Foster Provost; Tom Fawcett";Oreilly & Associates Incorporated;2013;en;Computers;Introduces fundamental concepts of data science necessary for extracting useful information from data mining techniques, including envisioning the problem, applying data science techniques, and deploying results to improve decision making.;384.0;9781449361327;1449361323;;;2025-11-22 17:34:20;https://www.googleapis.com/books/v1/volumes?q=isbn:9781449361327
tXdBAQAAQBAJ;http://books.google.es/books?id=tXdBAQAAQBAJ&dq=isbn:9781118661468&hl=&source=gbs_api;Data Smart;Using Data Science to Transform Information into Insight;John W. Foreman;John Wiley & Sons;2013-11-12;en;Computers;"Data Science gets thrown around in the press like it's magic. Major retailers are predicting everything from when their customers are pregnant to when they want a new pair of Chuck Taylors. It's a brave new world where seemingly meaningless data can be transformed into valuable insight to drive smart business decisions. But how does one exactly do data science? Do you have to hire one of these priests of the dark arts, the ""data scientist,"" to extract this gold from your data? Nope. Data science is little more than using straight-forward steps to process raw data into actionable insight. And in Data Smart, author and data scientist John Foreman will show you how that's done within the familiar environment of a spreadsheet. Why a spreadsheet? It's comfortable! You get to look at the data every step of the way, building confidence as you learn the tricks of the trade. Plus, spreadsheets are a vendor-neutral place to learn data science without the hype. But don't let the Excel sheets fool you. This is a book for those serious about learning the analytic techniques, the math and the magic, behind big data. Each chapter will cover a different technique in a spreadsheet so you can follow along: Mathematical optimization, including non-linear programming and genetic algorithms Clustering via k-means, spherical k-means, and graph modularity Data mining in graphs, such as outlier detection Supervised AI through logistic regression, ensemble models, and bag-of-words models Forecasting, seasonal adjustments, and prediction intervals through monte carlo simulation Moving from spreadsheets into the R programming language You get your hands dirty as you work alongside John through each technique. But never fear, the topics are readily applicable and the author laces humor throughout. You'll even learn what a dead squirrel has to do with optimization modeling, which you no doubt are dying to know.";437.0;9781118661468;111866146X;;;2025-11-22 17:34:21;https://www.googleapis.com/books/v1/volumes?q=isbn:9781118661468
YBKSDwAAQBAJ;http://books.google.es/books?id=YBKSDwAAQBAJ&dq=intitle:%22Data+Science+from+Scratch:+First+Principles+with+Python%22+inauthor:%22Joel+Grus%22&hl=&source=gbs_api;Data Science from Scratch;First Principles with Python;Joel Grus;O'Reilly Media;2019-04-12;en;Computers;Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch. If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.;398.0;9781492041108;1492041106;;;2025-11-22 17:34:23;"https://www.googleapis.com/books/v1/volumes?q=intitle:""Data Science from Scratch: First Principles with Python"" inauthor:""Joel Grus"""
tYp50AEACAAJ;http://books.google.es/books?id=tYp50AEACAAJ&dq=isbn:9781647826314&hl=&source=gbs_api;Mindmasters;The Data-Driven Science of Predicting and Changing Human Behavior;SANDRA. MATZ;;2025-01-07;en;Business & Economics;A refreshingly relatable exploration of how algorithms penetrate the most intimate aspects of our psychology, and how we can regain mastery over our lives--from the pioneering expert of psychological targeting. There are more digital pieces of data than stars in the universe. This data helps us monitor our planet, decipher our genetic code, and take a deep dive into our psychology. As algorithms become increasingly adept at accessing our minds, they also become more and more powerful at controlling it--enticing us to buy a certain product or vote for a certain political candidate. Some of us say this technological trend is no big deal. Others consider it one of the greatest threats to humanity. But what if the truth is more nuanced and mind-bending than that? In Mindmasters, Columbia Business School professor Sandra Matz offers a fascinating insider perspective on the art and data-driven science of psychological targeting. By relating her own personal story of growing up in a small village--where few aspects of life remain truly private--to her groundbreaking research in computational psychology, Matz reveals how Big Data offers insights into the most intimate aspects of our psyche and how these insights empower external influence over the choices we make. Filled with Ted-Talk-like explanations and real-life examples from Matz's research and consulting work, Mindmasters paints a nuanced picture of the power of psychological targeting. Like nosy neighbors, it can be creepy, manipulative, and downright harmful--with scandals like Cambridge Analytica being merely the tip of the iceberg. Yet, like any tight-knit, supportive village community, it also holds enormous potential to help us live healthier and happier lives--for example, by improving our mental health, encouraging better financial decisions, or enabling us to break out of our echo chambers. With passion and clear-eyed precision, Matz shows us how to manage psychological targeting and redesign the data game in a way that empowers us to take back control and ask more of our personal data. Mindmasters is a riveting look at what our digital footprints reveal about us, how they're being used--for good and for ill--and how we can gain more control and power over the data that define us.;0.0;9781647826314;1647826314;;;2025-11-22 17:34:24;https://www.googleapis.com/books/v1/volumes?q=isbn:9781647826314
I6y3DQAAQBAJ;http://books.google.es/books?id=I6y3DQAAQBAJ&dq=intitle:%22R+for+Data+Science:+Import,+Tidy,+Transform,+Visualize,+and+Model+Data%22+inauthor:%22Hadley+Wickham%22&hl=&source=gbs_api;R for Data Science;Import, Tidy, Transform, Visualize, and Model Data;"Hadley Wickham; Garrett Grolemund";"""O'Reilly Media, Inc.""";2016-12-12;en;Computers;"Learn how to use R to turn raw data into insight, knowledge, and understanding. This book introduces you to R, RStudio, and the tidyverse, a collection of R packages designed to work together to make data science fast, fluent, and fun. Suitable for readers with no previous programming experience, R for Data Science is designed to get you doing data science as quickly as possible. Authors Hadley Wickham and Garrett Grolemund guide you through the steps of importing, wrangling, exploring, and modeling your data and communicating the results. You'll get a complete, big-picture understanding of the data science cycle, along with basic tools you need to manage the details. Each section of the book is paired with exercises to help you practice what you've learned along the way. You'll learn how to: Wrangle—transform your datasets into a form convenient for analysis Program—learn powerful R tools for solving data problems with greater clarity and ease Explore—examine your data, generate hypotheses, and quickly test them Model—provide a low-dimensional summary that captures true ""signals"" in your dataset Communicate—learn R Markdown for integrating prose, code, and results";432.0;9781491910344;1491910348;;;2025-11-22 17:34:27;"https://www.googleapis.com/books/v1/volumes?q=intitle:""R for Data Science: Import, Tidy, Transform, Visualize, and Model Data"" inauthor:""Hadley Wickham"""
vaBDzwEACAAJ;http://books.google.es/books?id=vaBDzwEACAAJ&dq=isbn:9781449358655&hl=&source=gbs_api;Doing Data Science;Straight Talk from the Frontline;Cathy O'Neil;;;en;Big data;;0.0;9781449358655;1449358659;;;2025-11-22 17:34:29;https://www.googleapis.com/books/v1/volumes?q=isbn:9781449358655
T2LeAQAACAAJ;http://books.google.es/books?id=T2LeAQAACAAJ&dq=intitle:%22Numsense!+Data+Science+for+the+Layman:+No+Math+Added%22&hl=&source=gbs_api;Numsense! Data Science for the Layman;No Math Added;Annalyn Ng;Annalyn Ng & Kenneth Soo;2017-03-24;en;;Used in Stanford's CS102 Big Data (Spring 2017) course. Want to get started on data science? Our promise: no math added. This book has been written in layman's terms as a gentle introduction to data science and its algorithms. Each algorithm has its own dedicated chapter that explains how it works, and shows an example of a real-world application. To help you grasp key concepts, we stick to intuitive explanations, as well as lots of visuals, all of which are colorblind-friendly. Popular concepts covered include: A/B Testing Anomaly Detection Association Rules Clustering Decision Trees and Random Forests Regression Analysis Social Network Analysis Neural Networks Features: Intuitive explanations and visuals Real-world applications to illustrate each algorithm Point summaries at the end of each chapter Reference sheets comparing the pros and cons of algorithms Glossary list of commonly-used terms With this book, we hope to give you a practical understanding of data science, so that you, too, can leverage its strengths in making better decisions.;;9789811110689;9811110689;;;2025-11-22 17:34:32;"https://www.googleapis.com/books/v1/volumes?q=intitle:""Numsense! Data Science for the Layman: No Math Added"""
yijjwAEACAAJ;http://books.google.es/books?id=yijjwAEACAAJ&dq=isbn:9781491912058&hl=&source=gbs_api;Python Data Science Handbook;Essential Tools for Working with Data;"Jacob T. Vanderplas; Jake VanderPlas";O'Reilly Media;2016;en;Computers;"For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all--IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day issues: manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you'll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python NumPy: includes the ndarray for efficient storage and manipulation of dense data arrays in Python Pandas: features the DataFrame for efficient storage and manipulation of labeled/columnar data in Python Matplotlib: includes capabilities for a flexible range of data visualizations in Python Scikit-Learn: for efficient and clean Python implementations of the most important and established machine learning algorithms";529.0;9781491912058;1491912057;;;2025-11-22 17:34:34;https://www.googleapis.com/books/v1/volumes?q=isbn:9781491912058
TFpVDwAAQBAJ;http://books.google.es/books?id=TFpVDwAAQBAJ&dq=isbn:9780262535434&hl=&source=gbs_api;Data Science;;"John D. Kelleher; Brendan Tierney";MIT Press;2018-04-13;en;Computers;A concise introduction to the emerging field of data science, explaining its evolution, relation to machine learning, current uses, data infrastructure issues, and ethical challenges. The goal of data science is to improve decision making through the analysis of data. Today data science determines the ads we see online, the books and movies that are recommended to us online, which emails are filtered into our spam folders, and even how much we pay for health insurance. This volume in the MIT Press Essential Knowledge series offers a concise introduction to the emerging field of data science, explaining its evolution, current uses, data infrastructure issues, and ethical challenges. It has never been easier for organizations to gather, store, and process data. Use of data science is driven by the rise of big data and social media, the development of high-performance computing, and the emergence of such powerful methods for data analysis and modeling as deep learning. Data science encompasses a set of principles, problem definitions, algorithms, and processes for extracting non-obvious and useful patterns from large datasets. It is closely related to the fields of data mining and machine learning, but broader in scope. This book offers a brief history of the field, introduces fundamental data concepts, and describes the stages in a data science project. It considers data infrastructure and the challenges posed by integrating data from multiple sources, introduces the basics of machine learning, and discusses how to link machine learning expertise with real-world problems. The book also reviews ethical and legal issues, developments in data regulation, and computational approaches to preserving privacy. Finally, it considers the future impact of data science and offers principles for success in data science projects.;282.0;9780262535434;0262535432;;;2025-11-22 17:34:35;https://www.googleapis.com/books/v1/volumes?q=isbn:9780262535434
GCUqEAAAQBAJ;https://play.google.com/store/books/details?id=GCUqEAAAQBAJ&source=gbs_api;Becoming a Data Head;How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning;"Alex J. Gutman; Jordan Goldmeier";John Wiley & Sons;2021-04-13;en;Business & Economics;"""Turn yourself into a Data Head. You'll become a more valuable employee and make your organization more successful."" Thomas H. Davenport, Research Fellow, Author of Competing on Analytics, Big Data @ Work, and The AI Advantage You've heard the hype around data - now get the facts. In Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning, award-winning data scientists Alex Gutman and Jordan Goldmeier pull back the curtain on data science and give you the language and tools necessary to talk and think critically about it. You'll learn how to: Think statistically and understand the role variation plays in your life and decision making Speak intelligently and ask the right questions about the statistics and results you encounter in the workplace Understand what's really going on with machine learning, text analytics, deep learning, and artificial intelligence Avoid common pitfalls when working with and interpreting data Becoming a Data Head is a complete guide for data science in the workplace: covering everything from the personalities you’ll work with to the math behind the algorithms. The authors have spent years in data trenches and sought to create a fun, approachable, and eminently readable book. Anyone can become a Data Head—an active participant in data science, statistics, and machine learning. Whether you're a business professional, engineer, executive, or aspiring data scientist, this book is for you.";269.0;9781119741763;1119741769;27.99;EUR;2025-11-22 17:34:36;https://www.googleapis.com/books/v1/volumes?q=isbn:9781119741763
